name,location,address,price,menu,sitdown,takeout,grubhub,bar,boba,coffee,bowls,pizza,dessert,asian,mexican,brunch,lunchdinner
Grain Craft Bar + Kitchen,Main Street,"270 E Main St, Newark, DE 19711",$$,https://meetatgrain.com/newark?loxi_pathname=%2Flist%2Ffuture%2F1,true,false,false,true,false,false,false,false,false,false,false,true,true
Bing's Bakery,Main Street,"253 E Main St, Newark, DE 19711",$$,https://www.bingsbakery.com,false,true,false,false,false,false,false,false,false,false,false,false,false
Pobu,Main Street,"215 E Main St, Newark, DE 19711",$,https://www.beyondmenu.com/49074/newark/pobu-newark-19711.aspx?utm_source=satellite&utm_campaign=polaris&utm_medium=hero-view-menu-link&utm_mode=light&utm_color=beyondmenu&utm_template=FORSYTHIA&puid=v0PSFHNyB4QrYgHHTG1ro&ts=1688054968679&context=default,false,true,false,false,false,false,true,false,false,true,false,false,true
Banh Mi Boy,Main Street,"209 E Main St, Newark, DE 19711",$,https://food.google.com/chooseprovider?restaurantId=/g/1hc2b1vfs&g2lbs=ADZRdkvTJoCeRnjwzU6vTASFeNEIch-kjY16xYHyzJ-mj788vYy4QpCQiOTgmnfT1GgDNYRiT_UG27Hnzma17BADmD0Mz-rkLSo4vDqqA7D3qc-B7qv9gogIRFJbGN65gDPhZfktBsY-&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=9aydZKPaGfqi5NoP4caz0Aw&ei=9aydZKPaGfqi5NoP4caz0Aw&fo_s=OA&sei=CVfi0w5-TZKVEXHeDka6-Aaf&utm_campaign&utm_source=tactile,false,true,false,false,true,false,false,false,false,true,false,false,true
Season's Pizza,Main Street,"203 E Main St, Newark, DE 19711",$,https://www.seasonspizza.com/menu/,false,true,false,false,false,false,false,true,false,false,false,false,true
Papa Johns Pizza,Main Street,"181 E Main St, Newark, DE 19711",$,https://www.papajohns.com/order/menu,false,true,false,false,false,false,false,true,false,false,false,false,true
Sinclair's Cafe Ltd,Main Street,"177 E Main St, Newark, DE 19711",$,"https://www.google.com/maps/place/Sinclair's+Cafe+Ltd/@39.6835219,-75.74577,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOmoD25rTZ4ccqFI_oCABdob0zlVBr6i9Y_S6N5!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOmoD25rTZ4ccqFI_oCABdob0zlVBr6i9Y_S6N5%3Dw224-h298-k-no!7i3024!8i4032!4m17!1m7!3m6!1s0x89c7aa3a87e56e39:0x3067952cd26a8787!2sHome+Grown+Cafe!8m2!3d39.683544!4d-75.7480969!16s%2Fg%2F1txnqf01!3m8!1s0x89c7aa3baa56c6fd:0xc0a51dc5b4606935!8m2!3d39.6835219!4d-75.74577!10e5!14m1!1BCgIYIQ!16s%2Fg%2F1tj1t17q?entry=ttu",true,false,false,false,false,false,false,false,false,false,false,true,false
Ali Baba Mid Eastern Restaurant,Main Street,"175 E Main St, Newark, DE 19711",$$,"https://www.google.com/maps/place/Ali+Baba+Mid+Eastern+Restaurant/@39.6833967,-75.7458934,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO9MZQAZ4Rl4ff_wfOIhUjxr-KyfUkzkdQ9iuCP!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO9MZQAZ4Rl4ff_wfOIhUjxr-KyfUkzkdQ9iuCP%3Dw203-h270-k-no!7i3024!8i4032!4m17!1m7!3m6!1s0x89c7aa3a87e56e39:0x3067952cd26a8787!2sHome+Grown+Cafe!8m2!3d39.683544!4d-75.7480969!16s%2Fg%2F1txnqf01!3m8!1s0x89c7aa3a534e1d8f:0x676a3528a0fb2599!8m2!3d39.6833967!4d-75.7458934!10e5!14m1!1BCgIYIQ!16s%2Fg%2F1ts1nly9?entry=ttu",true,false,false,false,false,false,false,false,false,false,false,false,true
Kakure Bistro,Main Street,"165 E Main St, Newark, DE 19711",$$,https://kakurebistro.com/appetizer-1,true,false,false,false,false,false,false,false,false,true,false,false,true
Ramen Kumamoto,Main Street,"165 E Main St, Newark, DE 19711",$$,https://ramenkumamoto.com,true,false,false,false,false,false,false,false,false,true,false,false,true
Santa Fe Mexican Grill,Main Street,"190 E Main St, Newark, DE 19711",$$,https://www.santafemexicangrill.com/newark-menu,true,false,false,false,false,false,false,false,false,false,true,false,true
Freddy's Wings and Wraps,Main Street,"174 E Main St, Newark, DE 19711",$,https://eatfreddys.com,false,true,false,false,false,false,false,false,false,false,false,false,true
Oishii Ocean Japanese & Cajun Seafood,Main Street,"170 E Main St, Newark, DE 19711",$$,https://www.oishiiocean.com/menus,true,false,false,false,false,false,false,false,false,true,false,false,true
2SPizza,Main Street,"168 E Main St, Newark, DE 19711",$$,https://2spizza.com/wp-content/uploads/2023/04/2SPizza-Spring-23-Internet-Menu.pdf,false,true,false,false,false,false,false,true,false,false,false,false,true
Bowba Cha Bubble Tea,Main Street,"157 E Main St, Newark, DE 19711",$,https://order.mealkeyway.com/customer/release/index?mid=754f50694c70666255334e4f474d5475333156536d773d3d#/main,false,true,false,false,true,false,false,false,false,true,false,false,false
Iron Hill Brewery & Restaurant,Main Street,"147 E Main St, Newark, DE 19711",$$,https://ironhillbrewery.com/food-menus/newark-de-dinner-menu/,true,false,false,false,false,false,false,false,false,false,false,false,true
